时间戳,高炉编号,温度,压力,风量,喷煤量,料面高度,煤气流量,氧气含量,生产率,能耗,铁水温度,铁水含硅量,常量信号,状态
2026-03-12 19:24:09,BF-001,1252.50,170.56,4879.10,150.00,5.05,2607.00,23.03,46.80,1008.40,1466.30,0.36,5.00,装料中
2026-03-12 19:24:10,BF-002,1256.50,169.25,4879.50,149.30,5.15,2633.00,22.69,46.40,1008.30,1469.50,0.36,5.00,装料中
2026-03-12 19:24:11,BF-003,1254.60,171.87,4937.20,149.70,5.11,2645.00,22.63,47.20,1005.80,1466.30,0.34,5.00,装料中
2026-03-12 19:24:12,BF-001,1256.10,167.20,4806.20,147.50,5.10,2498.00,22.94,46.20,1005.60,1468.10,0.37,5.00,装料中
2026-03-12 19:24:13,BF-002,1261.30,166.26,4833.80,146.30,5.20,2511.00,22.70,45.90,1008.00,1470.30,0.37,5.00,装料中
2026-03-12 19:24:14,BF-003,1256.80,167.05,4845.60,145.90,5.22,2567.00,22.50,46.70,1002.70,1469.30,0.38,5.00,装料中
2026-03-12 19:24:15,BF-001,1258.60,165.40,4728.60,146.80,5.29,2473.00,22.52,45.20,1009.80,1469.00,0.37,5.00,装料中
2026-03-12 19:24:16,BF-002,1265.40,164.86,4726.10,146.30,5.23,2419.00,22.61,45.40,1003.80,1469.70,0.37,5.00,装料中
2026-03-12 19:24:17,BF-003,1258.50,162.69,4745.50,147.90,5.29,2513.00,22.63,45.20,1009.60,1469.10,0.38,5.00,装料中
2026-03-12 19:24:18,BF-001,1262.00,161.16,4650.80,145.10,5.29,2400.00,22.48,43.40,1009.00,1467.40,0.35,5.00,装料中
2026-03-12 19:24:19,BF-002,1268.90,162.76,4639.80,144.00,5.35,2376.00,23.01,43.80,1005.70,1469.00,0.35,5.00,装料中
2026-03-12 19:24:20,BF-003,1260.40,162.08,4697.80,146.40,5.47,2396.00,22.53,44.10,1007.80,1468.60,0.34,5.00,装料中
2026-03-12 19:24:21,BF-001,1263.80,160.50,4576.40,143.50,5.50,2408.00,22.53,42.60,1005.00,1465.20,0.34,5.00,装料中
2026-03-12 19:24:22,BF-002,1272.00,160.58,4619.50,143.60,5.54,2425.00,22.87,44.10,1002.40,1467.40,0.36,5.00,装料中
2026-03-12 19:24:23,BF-003,1262.00,161.19,4608.00,146.10,5.39,2357.00,22.59,42.30,1004.90,1467.30,0.35,5.00,装料中
2026-03-12 19:24:24,BF-001,1264.30,157.17,4505.60,145.50,5.52,2326.00,22.48,41.20,1009.70,1467.90,0.35,5.00,装料中
2026-03-12 19:24:25,BF-002,1272.20,159.43,4559.40,142.70,5.45,2335.00,22.77,43.30,1005.40,1470.00,0.35,5.00,装料中
2026-03-12 19:24:26,BF-003,1264.70,158.94,4596.00,145.30,5.63,2343.00,22.61,42.90,1015.40,1468.00,0.36,5.00,装料中
2026-03-12 19:24:27,BF-001,1267.10,154.97,4509.90,143.40,5.51,2266.00,22.66,41.80,1006.50,1465.00,0.35,5.00,预警
2026-03-12 19:24:28,BF-002,1272.20,156.29,4526.60,140.30,5.69,2267.00,22.76,42.10,1009.20,1467.80,0.37,5.00,预警
2026-03-12 19:24:29,BF-003,1265.30,158.64,4581.00,143.30,5.60,2307.00,22.39,42.30,1014.90,1469.40,0.37,5.00,装料中
2026-03-12 19:24:30,BF-001,1271.50,154.17,4505.10,143.30,5.64,2257.00,22.63,41.60,1008.70,1467.00,0.37,5.00,预警
2026-03-12 19:24:31,BF-002,1274.00,156.75,4514.10,142.60,5.57,2333.00,22.91,42.50,1013.30,1466.50,0.38,5.00,装料中
2026-03-12 19:24:32,BF-003,1267.70,157.58,4545.40,143.40,5.74,2301.00,22.90,41.20,1009.80,1466.50,0.37,5.00,预警
2026-03-12 19:24:33,BF-001,1275.20,154.77,4444.50,143.90,5.60,2245.00,22.50,40.80,1021.20,1467.20,0.36,5.00,预警
2026-03-12 19:24:34,BF-002,1277.50,155.15,4515.70,142.30,5.69,2314.00,22.86,42.10,1003.50,1468.80,0.35,5.00,装料中
2026-03-12 19:24:35,BF-003,1268.60,161.62,4637.60,145.90,5.41,2400.00,22.50,43.60,1015.10,1469.30,0.36,5.00,送风中
2026-03-12 19:24:36,BF-001,1277.90,154.33,4433.60,144.50,5.74,2224.00,22.59,39.70,1016.90,1466.10,0.35,5.00,预警
2026-03-12 19:24:37,BF-002,1278.40,153.33,4508.50,139.40,5.63,2277.00,22.68,41.50,1003.50,1468.00,0.36,5.00,预警
2026-03-12 19:24:38,BF-003,1272.40,161.50,4725.70,145.20,5.26,2447.00,22.58,45.10,1008.60,1468.80,0.37,5.00,送风中
2026-03-12 19:24:39,BF-001,1277.40,156.76,4473.50,143.00,5.19,2299.00,22.64,40.90,1019.70,1466.00,0.36,5.00,预警
2026-03-12 19:24:40,BF-002,1280.80,156.19,4586.10,143.30,5.38,2337.00,22.49,42.30,1007.30,1467.60,0.35,5.00,送风中
2026-03-12 19:24:41,BF-003,1272.90,163.94,4799.40,146.60,5.18,2470.00,22.88,45.90,1002.40,1469.60,0.36,5.00,送风中
2026-03-12 19:24:42,BF-001,1280.90,160.57,4558.20,143.90,5.28,2410.00,22.97,42.30,1015.70,1465.90,0.34,5.00,送风中
2026-03-12 19:24:43,BF-002,1279.70,159.06,4624.80,143.00,5.15,2362.00,22.44,42.90,1000.00,1467.40,0.36,5.00,送风中
2026-03-12 19:24:44,BF-003,1277.60,165.37,4835.70,148.50,5.21,2474.00,22.62,46.40,1004.70,1470.30,0.36,5.00,送风中
2026-03-12 19:24:45,BF-001,1285.30,160.39,4638.40,144.30,5.15,2346.00,22.83,44.50,1007.60,1468.40,0.35,5.00,送风中
2026-03-12 19:24:46,BF-002,1280.70,158.87,4666.10,145.00,5.21,2346.00,22.72,44.60,1004.40,1466.40,0.38,5.00,送风中
2026-03-12 19:24:47,BF-003,1279.60,164.96,4841.60,148.90,5.10,2503.00,22.95,45.90,1006.40,1469.60,0.38,5.00,送风中
2026-03-12 19:24:48,BF-001,1287.20,162.23,4701.00,145.90,5.00,2394.00,23.13,46.20,1003.10,1468.50,0.35,5.00,送风中
2026-03-12 19:24:49,BF-002,1281.30,160.09,4687.80,145.90,4.97,2449.00,22.90,44.90,1010.40,1470.10,0.36,5.00,送风中
2026-03-12 19:24:50,BF-003,1281.50,166.71,4881.70,150.10,5.11,2610.00,22.78,47.20,1001.10,1468.10,0.35,5.00,送风中
2026-03-12 19:24:51,BF-001,1286.60,164.87,4769.10,145.90,5.07,2472.00,23.21,46.00,1000.80,1468.10,0.34,5.00,送风中
2026-03-12 19:24:52,BF-002,1283.00,160.18,4707.70,146.10,5.02,2439.00,22.44,44.60,1012.40,1466.60,0.37,5.00,送风中
2026-03-12 19:24:53,BF-003,1286.70,165.16,4864.40,148.80,4.96,2510.00,22.59,46.40,999.30,1465.90,0.38,5.00,送风中
2026-03-12 19:24:54,BF-001,1289.90,164.81,4829.50,147.20,5.00,2488.00,22.92,46.60,996.50,1466.40,0.36,5.00,送风中
2026-03-12 19:24:55,BF-002,1287.40,163.16,4716.70,145.80,4.88,2501.00,22.93,43.80,1004.40,1470.00,0.35,5.00,送风中
2026-03-12 19:24:56,BF-003,1289.40,166.96,4856.40,145.90,4.99,2491.00,22.92,47.20,1000.80,1467.40,0.35,5.00,送风中
2026-03-12 19:24:57,BF-001,1294.10,164.09,4885.50,149.40,4.87,2488.00,22.83,47.50,1001.00,1467.90,0.39,5.00,送风中
2026-03-12 19:24:58,BF-002,1286.10,163.21,4724.80,148.70,4.90,2457.00,22.97,45.60,1012.90,1471.70,0.38,5.00,送风中
2026-03-12 19:24:59,BF-003,1290.90,168.19,4865.80,145.40,4.85,2526.00,22.82,46.80,1000.50,1467.40,0.38,5.00,送风中
2026-03-12 19:25:00,BF-001,1293.80,166.00,4929.10,146.20,4.81,2561.00,22.74,48.50,994.80,1466.90,0.37,5.00,送风中
2026-03-12 19:25:01,BF-002,1288.50,165.15,4786.30,146.90,4.87,2498.00,22.74,46.40,1009.20,1470.50,0.38,5.00,送风中
2026-03-12 19:25:02,BF-003,1295.10,169.31,4906.60,146.80,4.87,2543.00,23.11,46.90,1003.80,1471.40,0.38,5.00,送风中
2026-03-12 19:25:03,BF-001,1295.90,164.91,4946.20,148.50,4.86,2545.00,23.13,49.50,992.90,1470.10,0.38,5.00,送风中
2026-03-12 19:25:04,BF-002,1291.30,165.43,4847.80,147.20,4.81,2489.00,22.79,45.90,1005.20,1472.50,0.40,5.00,送风中
2026-03-12 19:25:05,BF-003,1297.40,172.50,5000.80,149.90,4.72,2668.00,23.05,50.30,1004.90,1469.20,0.37,5.00,冶炼中
2026-03-12 19:25:06,BF-001,1298.80,166.86,4929.30,146.70,4.97,2584.00,22.70,47.70,993.80,1469.00,0.37,5.00,送风中
2026-03-12 19:25:07,BF-002,1294.80,170.47,4967.90,150.00,4.76,2683.00,23.08,48.60,1004.30,1473.60,0.38,5.00,冶炼中
2026-03-12 19:25:08,BF-003,1297.10,173.49,5079.50,151.60,4.74,2666.00,23.02,50.50,1004.50,1468.80,0.37,5.00,冶炼中
