时间戳,高炉编号,温度,压力,风量,喷煤量,料面高度,煤气流量,氧气含量,生产率,能耗,铁水温度,铁水含硅量,常量信号,状态
2026-03-09 13:25:35,BF-001,1308.50,174.44,5056.60,152.50,4.84,2793.00,22.65,51.20,1015.10,1473.60,0.40,5.00,装料中
2026-03-09 13:25:36,BF-002,1297.00,158.41,4698.60,148.30,5.50,2439.00,23.22,44.50,1018.00,1473.90,0.40,5.00,装料中
2026-03-09 13:25:37,BF-003,1291.00,160.74,4832.80,149.00,5.31,2575.00,22.87,46.70,1009.30,1471.00,0.37,5.00,装料中
2026-03-09 13:25:38,BF-001,1312.90,172.53,4911.50,154.20,4.81,2672.00,22.68,47.70,1022.10,1474.40,0.39,5.00,装料中
2026-03-09 13:25:39,BF-002,1297.20,156.95,4655.00,145.30,5.42,2336.00,23.07,44.50,1012.60,1476.60,0.42,5.00,装料中
2026-03-09 13:25:40,BF-003,1294.40,159.15,4811.30,145.20,5.29,2438.00,22.86,46.50,1009.20,1473.50,0.38,5.00,装料中
2026-03-09 13:25:41,BF-001,1315.30,169.21,4802.20,152.80,5.12,2551.00,23.17,46.90,1013.00,1476.60,0.40,5.00,装料中
2026-03-09 13:25:42,BF-002,1296.30,157.28,4595.30,145.00,5.58,2349.00,22.46,43.90,1019.10,1479.60,0.43,5.00,装料中
2026-03-09 13:25:43,BF-003,1297.00,159.49,4690.40,145.70,5.27,2339.00,22.70,46.30,1003.00,1473.60,0.39,5.00,装料中
2026-03-09 13:25:44,BF-001,1318.60,167.17,4751.10,148.50,5.21,2499.00,23.07,46.20,1013.60,1476.30,0.41,5.00,装料中
2026-03-09 13:25:45,BF-002,1297.20,153.44,4527.30,143.20,5.48,2284.00,22.40,41.90,1017.60,1477.90,0.41,5.00,预警
2026-03-09 13:25:46,BF-003,1299.20,158.39,4595.60,142.60,5.38,2307.00,23.29,44.20,1006.00,1473.40,0.38,5.00,装料中
2026-03-09 13:25:47,BF-001,1322.60,181.04,4968.00,152.20,4.48,2663.00,23.64,47.80,1034.80,1474.40,0.42,5.00,波动调整
2026-03-09 13:25:48,BF-002,1296.10,154.59,4457.40,141.20,5.71,2331.00,22.48,41.30,1011.60,1475.50,0.40,5.00,预警
2026-03-09 13:25:49,BF-003,1300.80,156.85,4595.20,142.50,5.62,2407.00,23.07,45.00,1000.50,1471.00,0.39,5.00,装料中
2026-03-09 13:25:50,BF-001,1329.20,194.65,5049.20,151.60,4.33,2927.00,23.51,52.20,1025.40,1482.00,0.45,5.00,波动调整
2026-03-09 13:25:51,BF-002,1293.30,151.38,4387.30,144.70,5.67,2240.00,22.41,39.60,1018.40,1480.30,0.41,5.00,预警
2026-03-09 13:25:52,BF-003,1298.40,156.57,4530.80,141.50,5.45,2295.00,22.91,44.20,1004.60,1474.60,0.37,5.00,预警
2026-03-09 13:25:53,BF-001,1331.40,193.85,5167.40,154.60,4.20,2778.00,22.96,52.90,1003.70,1482.00,0.40,5.00,波动调整
2026-03-09 13:25:54,BF-002,1294.40,149.58,4424.60,142.00,5.61,2175.00,22.67,41.10,1013.10,1475.70,0.41,5.00,预警
2026-03-09 13:25:55,BF-003,1296.00,153.06,4503.80,138.10,5.76,2213.00,22.89,42.60,1010.30,1471.80,0.40,5.00,预警
2026-03-09 13:25:56,BF-001,1330.90,186.17,5225.50,157.20,4.16,2784.00,22.56,53.80,1005.20,1480.50,0.44,5.00,波动调整
2026-03-09 13:25:57,BF-002,1298.00,149.64,4444.10,142.20,5.75,2183.00,22.64,41.10,1015.90,1478.90,0.45,5.00,预警
2026-03-09 13:25:58,BF-003,1296.30,154.77,4504.10,142.00,5.56,2328.00,23.10,43.40,1017.00,1471.00,0.42,5.00,装料中
2026-03-09 13:25:59,BF-001,1329.40,188.20,5321.70,159.20,3.51,3001.00,23.54,57.10,1023.30,1478.70,0.46,5.00,波动调整
2026-03-09 13:26:00,BF-002,1294.10,149.03,4685.30,143.60,4.88,2261.00,23.69,42.90,1021.00,1480.00,0.41,5.00,预警
2026-03-09 13:26:01,BF-003,1299.60,153.23,4522.80,141.70,5.72,2314.00,23.03,43.10,1002.10,1474.80,0.37,5.00,预警
2026-03-09 13:26:02,BF-001,1333.30,186.31,5268.90,156.10,3.80,2918.00,23.09,55.70,1001.20,1482.20,0.41,5.00,送风中
2026-03-09 13:26:03,BF-002,1290.40,163.12,4958.70,150.00,4.79,2557.00,23.09,47.90,1001.10,1474.00,0.43,5.00,波动调整
