时间戳,高炉编号,温度,压力,风量,喷煤量,料面高度,煤气流量,氧气含量,生产率,能耗,铁水温度,铁水含硅量,常量信号,状态
2026-03-07 11:42:28,BF-001,1254.80,171.82,4889.20,148.30,5.11,2684.00,22.46,47.80,1015.00,1470.50,0.38,5.00,装料中
2026-03-07 11:42:29,BF-002,1251.60,170.34,4867.70,150.60,5.05,2608.00,23.17,46.60,1010.60,1465.30,0.35,5.00,装料中
2026-03-07 11:42:30,BF-003,1257.60,168.38,4868.30,149.50,5.21,2647.00,22.66,46.00,1010.40,1470.10,0.36,5.00,装料中
2026-03-07 11:42:31,BF-001,1262.00,170.32,4767.50,150.50,5.02,2580.00,22.52,44.80,1020.60,1469.90,0.36,5.00,装料中
2026-03-07 11:42:32,BF-002,1255.10,166.97,4800.40,147.30,5.06,2479.00,23.03,46.40,1005.50,1468.10,0.37,5.00,装料中
2026-03-07 11:42:33,BF-003,1262.90,165.57,4841.80,145.60,5.21,2498.00,22.68,45.90,1009.20,1471.40,0.37,5.00,装料中
2026-03-07 11:42:34,BF-001,1267.20,167.36,4678.30,149.60,5.30,2473.00,23.04,44.40,1010.00,1470.50,0.37,5.00,装料中
2026-03-07 11:42:35,BF-002,1257.10,165.70,4720.30,146.80,5.28,2469.00,22.42,45.50,1011.10,1469.60,0.38,5.00,装料中
2026-03-07 11:42:36,BF-003,1267.30,164.87,4716.60,146.10,5.20,2388.00,22.55,45.80,1002.10,1470.60,0.37,5.00,装料中
2026-03-07 11:42:37,BF-001,1273.20,165.61,4644.50,145.60,5.35,2432.00,22.95,44.10,1008.90,1468.10,0.36,5.00,装料中
2026-03-07 11:42:38,BF-002,1260.80,160.51,4634.80,144.70,5.24,2385.00,22.37,43.30,1009.20,1467.20,0.35,5.00,装料中
2026-03-07 11:42:39,BF-003,1271.20,162.92,4618.20,143.00,5.32,2349.00,23.16,43.80,1004.30,1469.60,0.35,5.00,装料中
2026-03-07 11:42:40,BF-001,1279.70,179.74,4876.40,149.70,4.59,2604.00,23.54,46.00,1029.10,1465.00,0.37,5.00,波动调整
2026-03-07 11:42:41,BF-002,1262.30,160.53,4549.90,142.60,5.51,2417.00,22.45,42.50,1002.60,1463.90,0.33,5.00,装料中
2026-03-07 11:42:42,BF-003,1274.50,160.65,4614.60,142.80,5.57,2442.00,22.96,44.70,998.80,1467.30,0.36,5.00,装料中
2026-03-07 11:42:43,BF-001,1288.70,193.56,4970.40,149.40,4.44,2874.00,23.43,50.70,1019.30,1472.30,0.39,5.00,波动调整
2026-03-07 11:42:44,BF-002,1261.90,156.37,4466.80,145.90,5.50,2311.00,22.39,40.60,1009.20,1468.10,0.34,5.00,装料中
2026-03-07 11:42:45,BF-003,1273.70,159.76,4547.50,141.80,5.41,2324.00,22.82,43.90,1002.80,1471.10,0.35,5.00,装料中
2026-03-07 11:42:46,BF-001,1293.30,192.93,5099.60,152.60,4.29,2734.00,22.89,51.60,997.30,1472.20,0.34,5.00,波动调整
2026-03-07 11:42:47,BF-002,1265.20,153.77,4493.00,143.10,5.47,2236.00,22.65,41.90,1004.10,1463.80,0.34,5.00,预警
2026-03-07 11:42:48,BF-003,1272.70,155.74,4518.20,138.30,5.73,2237.00,22.81,42.40,1008.10,1467.90,0.37,5.00,预警
2026-03-07 11:42:49,BF-001,1295.10,185.39,5167.20,155.50,4.24,2746.00,22.50,52.70,997.70,1469.30,0.38,5.00,波动调整
2026-03-07 11:42:50,BF-002,1270.80,153.16,4502.90,143.20,5.64,2235.00,22.62,41.90,1006.90,1466.80,0.38,5.00,预警
2026-03-07 11:42:51,BF-003,1274.50,157.02,4516.40,142.20,5.54,2349.00,23.03,43.20,1014.00,1465.90,0.39,5.00,装料中
